x,y
2289.3541587362797,223.51895029678724
2195.77642974205,204.02359008965607
2204.874264505378,235.21616642106596
2224.369624712509,259.91028935009876
2169.782616132542,283.3047215986561
2056.7095269311812,230.01740369916433
2002.122518351214,198.82482736775444
1907.245098676509,207.92266213108235
1822.7652044456077,211.82173417250863
1869.554068942722,250.81245458677085
1827.963967167509,265.1090520720004
1720.0896406880502,313.19760724959053
1721.3893313685255,383.38090399526277
1668.1020134690336,419.7722430485742
1807.1689162799025,500.3530652380497
1785.0741747118204,608.2273917175087
1938.437675007919,434.0688405338037
1948.8352004517224,505.5518279599513
1974.8290140612305,553.6403831375414
2025.5169505997715,514.6496627232792
2082.7033405406896,475.6589423090169
2096.9999380259187,453.5642007409349
2051.51076420928,413.2737896461972
2080.103959179739,371.68368787098404
2135.9906584401815,402.87626420239394
2135.9906584401815,369.08430651003323
2148.9875652449355,344.39018358100043
2180.1801415763452,378.18214127336114
2181.479832256821,424.9710057704758
2211.372717907755,414.57348032667255
2236.066840836788,436.66822189475454
2447.91642175428,428.8700778119021
2444.0173497128535,376.8824505928857
2596.0811593284766,411.97409896572174
2706.5548671688866,423.67131509000046
2779.3375452755095,484.7567770723448
2892.41063447687,644.6187307708202
2420.6229174642963,536.7444042913611
2269.8587985291488,496.4539931966234
2186.6785949787227,523.747497486607
2146.3881838839843,535.4447136108857
2094.4005566649685,574.4354340251481
2087.9021032625915,617.3252264808366
2122.9937516354275,621.2242985222629
2107.3974634697224,647.218112131771
2139.8897304816073,647.218112131771
2164.5838534106406,606.9277010370333
2210.0730272272795,682.3097605046071
2242.5652942391653,692.7072859484103
2265.9597264877225,713.5023368360169
2241.2656035586897,745.9946038479022
2182.779522937296,732.997697043148
2160.684781369214,704.4045020726891
2096.9999380259187,722.6001715993448
2043.7126201264273,670.6125443803285
1955.3336538540993,616.0255358003612
1951.434581812673,656.3159468950989
1983.9268488245584,722.6001715993448
2028.1163319607224,760.2912013331318
1947.5355097712468,765.4899640550334
1894.248191871755,755.0924386112301
1905.9454079960337,809.6794471911974
1821.465513765132,797.9822310669185
1782.4747933508697,816.1779005935743
1721.3893313685255,751.1933665698039
1753.8815983804107,730.3983156821973
1586.221500599083,600.4292476346562
1523.836347936263,500.3530652380497
1447.1545977882138,522.4478068061317
1384.7694451253942,493.8546118356726
1340.5799619892302,592.6311035518038
1343.1793433501812,666.7134723389022
1399.0660426106238,739.4961504455251
1471.8487207172466,757.6918199721808
1536.8332547410173,787.5847056231153
1584.9218099186073,838.2726421616563
1516.0382038534108,900.657794824476
1573.2245937943287,929.2509897949351
1622.6128396523943,896.7587227830497
1695.3955177590174,925.3519177535088
1895.5478825522305,933.1500618363613
1965.7311792979026,865.56614645164
1950.1348911321977,904.5568668659023
2029.4160226411977,875.9636718954432
2081.403649860214,870.7649091735416
2126.8928236768534,922.752536392558
2204.874264505378,877.2633625759186
2232.1677687953616,823.9760446764268
2373.8340529671814,610.8267730784596
2434.919514949526,625.123370563689
2464.81240060046,686.2088325460334
2450.5158031152305,736.8967690845743
2509.001883736624,783.6856335816891
2546.692913470411,795.3828497059678
2585.6836338846733,730.3983156821973
1237.904398231673,642.0193494098695
1297.6901695335418,643.319040090345
1178.1186269298041,732.9976970431483
1241.8034702730993,812.2788285521483
1309.3873856578207,911.0553202682795
1124.8313090303122,892.8596507416238
1195.0146057759844,939.6485152387386
1245.7025423145255,1003.3333585820337
1349.6777967525584,1003.3333585820337
1465.3502673148698,940.9482059192139
1480.9465554805747,978.6392356530009
1072.843681811296,1060.5197485229517
1065.0455377284434,1133.3024266295747
1044.2504868408369,1217.7823208604764
1148.2257412788697,1219.0820115409517
1295.0907881725911,1152.7977868367059
1504.3409877291322,1109.9079943810173
1557.628305628624,1117.7061384638698
1600.5180980843127,1132.0027359490994
1639.508818498575,1128.103663907673
1665.5026321080832,1095.611396895788
1664.2029414276078,1035.8256255939189
1633.0103650961978,987.7370704163287
1681.098920273788,990.3364517772795
1765.5788145046897,1074.8163460081812
1708.3924245637718,1154.0974775171812
1720.0896406880504,1193.0881979314436
1578.4233565162306,1230.7792276652306
1856.5571621379686,1063.1191298839026
1839.6611832917881,951.3457313630172
1933.2389122860177,1069.6175832862796
1982.6271581440833,1095.611396895788
1909.8444800374602,1132.0027359490994
1843.5602553332144,1190.4888165704929
1954.0339631736242,1196.9872699728699
2181.4798322568213,1119.0058291443452
2054.110145570231,1004.6330492625091
2006.0215903926407,1005.9327399429844
1998.2234463097882,955.2448034044435
2055.4098362507066,955.2448034044435
2358.237764801477,973.4404729310993
2423.222298825248,1021.5290281086894
2290.6538494167557,1139.8008800319517
2264.6600358072474,1234.6782997066566
